employee_name,working_day,hours_of_work,work_from_home
1,5,6.42,1
2,5,5.45,0
3,5,5.08,0
4,5,4.72,1
5,5,5.04,1
6,5,6.8,1
7,5,4.78,1
8,5,6.21,1
9,5,5.9,0
10,5,6.35,1
11,5,5.82,0
12,5,6.79,1
13,5,6.43,1
14,5,5.18,0
15,5,6.41,1
16,5,5.81,0
17,5,5.57,0
18,5,6.53,0
1,4,6.05,0
2,4,5.85,0
3,4,5.38,0
4,4,6.91,0
5,4,5.36,0
6,4,6.21,1
7,4,4.79,0
8,4,4.82,0
9,4,5.29,0
10,4,5.26,0
11,4,6.3,0
12,4,6.4,0
13,4,6.18,0
14,4,5.67,0
15,4,5.81,0
16,4,6.85,0
17,4,4.92,0
18,4,6.48,0
1,3,6.42,0
2,3,4.91,0
3,3,4.94,0
4,3,5.31,0
5,3,6.31,0
6,3,6.3,0
7,3,4.8,0
8,3,6.55,0
9,3,6.51,0
10,3,5.7,0
11,3,6.03,0
12,3,6.82,1
13,3,6.76,0
14,3,4.62,1
15,3,4.6,1
16,3,5.07,0
17,3,5.63,0
18,3,6.08,1
1,2,5.48,0
2,2,4.85,1
3,2,4.95,0
4,2,6.25,0
5,2,6.7,0
6,2,6.78,1
7,2,6.49,0
8,2,4.84,1
9,2,5.19,1
10,2,6.29,1
11,2,6.47,1
12,2,5.93,0
13,2,5.72,0
14,2,5.51,0
15,2,6.34,1
16,2,6.53,0
17,2,4.64,0
18,2,5.84,1
1,1,4.92,1
2,1,5.58,0
3,1,5.05,0
4,1,4.91,1
5,1,5.71,0
6,1,6.98,0
7,1,4.55,0
8,1,6.55,0
9,1,6.79,0
10,1,5.34,0
11,1,4.54,0
12,1,6.79,0
13,1,4.6,0
14,1,5.53,0
15,1,6.82,0
16,1,6.3,0
17,1,6.5,0
18,1,6.31,0
1,7,0.0,0
2,7,0.0,0
3,7,0.0,0
4,7,0.0,0
5,7,0.0,0
6,7,0.0,0
7,7,0.0,0
8,7,0.0,0
9,7,0.0,0
10,7,0.0,0
11,7,0.0,0
12,7,0.0,0
13,7,0.0,0
14,7,0.0,0
15,7,0.0,0
16,7,0.0,0
17,7,0.0,0
18,7,0.0,0
1,6,0.0,0
2,6,0.0,0
3,6,0.0,0
4,6,0.0,0
5,6,0.0,0
6,6,0.0,0
7,6,0.0,0
8,6,0.0,0
9,6,0.0,0
10,6,0.0,0
11,6,0.0,0
12,6,0.0,0
13,6,0.0,0
14,6,0.0,0
15,6,0.0,0
16,6,0.0,0
17,6,0.0,0
18,6,0.0,0
1,5,6.84,1
2,5,6.13,0
3,5,6.12,1
4,5,5.6,0
5,5,6.16,1
6,5,4.59,1
7,5,5.0,0
