employee_name,working_day,hours_of_work,work_from_home,month
1,5,6.42,1,3
2,5,5.45,0,3
3,5,5.08,0,3
4,5,4.72,1,3
5,5,5.04,1,3
6,5,6.8,1,3
7,5,4.78,1,3
8,5,6.21,1,3
9,5,5.9,0,3
10,5,6.35,1,3
11,5,5.82,0,3
12,5,6.79,1,3
13,5,6.43,1,3
14,5,5.18,0,3
15,5,6.41,1,3
16,5,5.81,0,3
17,5,5.57,0,3
18,5,6.53,0,3
1,4,6.05,0,3
2,4,5.85,0,3
3,4,5.38,0,3
4,4,6.91,0,3
5,4,5.36,0,3
6,4,6.21,1,3
7,4,4.79,0,3
8,4,4.82,0,3
9,4,5.29,0,3
10,4,5.26,0,3
11,4,6.3,0,3
12,4,6.4,0,3
13,4,6.18,0,3
14,4,5.67,0,3
15,4,5.81,0,3
16,4,6.85,0,3
17,4,4.92,0,3
18,4,6.48,0,3
1,3,6.42,0,3
2,3,4.91,0,3
3,3,4.94,0,3
4,3,5.31,0,3
5,3,6.31,0,3
6,3,6.3,0,3
7,3,4.8,0,3
8,3,6.55,0,3
9,3,6.51,0,3
10,3,5.7,0,3
11,3,6.03,0,3
12,3,6.82,1,3
13,3,6.76,0,3
14,3,4.62,1,3
15,3,4.6,1,3
16,3,5.07,0,3
17,3,5.63,0,3
18,3,6.08,1,3
1,2,5.48,0,3
2,2,4.85,1,3
3,2,4.95,0,3
4,2,6.25,0,3
5,2,6.7,0,3
6,2,6.78,1,3
7,2,6.49,0,3
8,2,4.84,1,3
9,2,5.19,1,3
10,2,6.29,1,3
11,2,6.47,1,3
12,2,5.93,0,3
13,2,5.72,0,3
14,2,5.51,0,3
15,2,6.34,1,3
16,2,6.53,0,3
17,2,4.64,0,3
18,2,5.84,1,3
1,1,4.92,1,3
2,1,5.58,0,3
3,1,5.05,0,3
4,1,4.91,1,3
5,1,5.71,0,3
6,1,6.98,0,3
7,1,4.55,0,3
8,1,6.55,0,3
9,1,6.79,0,3
10,1,5.34,0,3
11,1,4.54,0,3
12,1,6.79,0,3
13,1,4.6,0,3
14,1,5.53,0,3
15,1,6.82,0,3
16,1,6.3,0,3
17,1,6.5,0,3
18,1,6.31,0,3
1,7,0.0,0,3
2,7,0.0,0,3
3,7,0.0,0,3
4,7,0.0,0,3
5,7,0.0,0,3
6,7,0.0,0,3
7,7,0.0,0,3
8,7,0.0,0,3
9,7,0.0,0,3
10,7,0.0,0,3
11,7,0.0,0,3
12,7,0.0,0,3
13,7,0.0,0,3
14,7,0.0,0,3
15,7,0.0,0,3
16,7,0.0,0,3
17,7,0.0,0,3
18,7,0.0,0,3
1,6,0.0,0,3
2,6,0.0,0,3
3,6,0.0,0,3
4,6,0.0,0,3
5,6,0.0,0,3
6,6,0.0,0,3
7,6,0.0,0,3
8,6,0.0,0,3
9,6,0.0,0,3
10,6,0.0,0,3
11,6,0.0,0,3
12,6,0.0,0,3
13,6,0.0,0,3
14,6,0.0,0,3
15,6,0.0,0,3
16,6,0.0,0,3
17,6,0.0,0,3
18,6,0.0,0,3
1,5,6.84,1,3
2,5,6.13,0,3
3,5,6.12,1,3
4,5,5.6,0,3
5,5,6.16,1,3
6,5,4.59,1,3
7,5,5.0,0,3
8,5,6.1,1,3
9,5,5.43,0,3
10,5,4.83,0,3
11,5,5.12,0,3
12,5,4.85,1,3
13,5,5.4,1,3
14,5,4.54,1,3
15,5,6.01,0,3
16,5,5.18,0,3
17,5,4.95,0,3
18,5,5.87,0,3
1,4,6.03,0,3
2,4,4.98,1,3
3,4,5.99,0,3
4,4,5.12,0,3
5,4,6.73,0,3
6,4,4.91,0,3
7,4,4.82,0,3
8,4,6.66,0,3
9,4,4.76,1,3
10,4,5.49,0,3
11,4,6.84,0,3
12,4,6.54,0,3
13,4,6.9,0,3
14,4,5.41,0,3
15,4,5.2,0,3
16,4,6.06,0,3
17,4,4.7,0,3
18,4,6.14,0,3
1,3,5.78,0,3
2,3,4.64,0,3
3,3,6.89,0,3
4,3,6.55,0,3
5,3,6.07,0,3
6,3,5.32,0,3
7,3,6.27,0,3
8,3,6.5,0,3
9,3,6.79,0,3
10,3,5.4,0,3
11,3,5.36,0,3
12,3,6.31,1,3
13,3,5.22,0,3
14,3,5.12,0,3
15,3,5.16,1,3
16,3,6.17,0,3
17,3,5.46,0,3
18,3,6.51,1,3
1,2,4.62,0,3
2,2,5.05,0,3
3,2,5.28,0,3
4,2,6.98,1,3
5,2,6.23,0,3
6,2,5.65,1,3
7,2,6.96,0,3
8,2,5.38,1,3
9,2,4.74,0,3
10,2,6.43,0,3
11,2,6.93,1,3
12,2,4.69,0,3
13,2,5.98,0,3
14,2,5.24,0,3
15,2,6.55,1,3
16,2,6.41,0,3
17,2,6.69,0,3
18,2,6.93,0,3
1,1,5.26,0,3
2,1,6.71,0,3
3,1,6.96,1,3
4,1,6.84,0,3
5,1,5.84,0,3
6,1,4.75,1,3
7,1,4.9,0,3
8,1,5.35,1,3
9,1,6.66,0,3
10,1,5.43,0,3
11,1,5.21,0,3
12,1,5.5,0,3
13,1,6.21,0,3
14,1,4.9,0,3
15,1,6.87,0,3
16,1,5.39,1,3
17,1,4.58,0,3
18,1,6.58,0,3
1,7,0.0,0,3
2,7,0.0,0,3
3,7,0.0,0,3
4,7,0.0,0,3
5,7,0.0,0,3
6,7,0.0,0,3
7,7,0.0,0,3
8,7,0.0,0,3
9,7,0.0,0,3
10,7,0.0,0,3
11,7,0.0,0,3
12,7,0.0,0,3
13,7,0.0,0,3
14,7,0.0,0,3
15,7,0.0,0,3
16,7,0.0,0,3
17,7,0.0,0,3
18,7,0.0,0,3
1,6,0.0,0,3
2,6,0.0,0,3
3,6,0.0,0,3
4,6,0.0,0,3
