employee_name,working_day,date,hours_of_work,work_from_home
1,Friday,2023-03-17,6.42,1
2,Friday,2023-03-17,5.45,0
3,Friday,2023-03-17,5.08,0
4,Friday,2023-03-17,4.72,1
5,Friday,2023-03-17,5.04,1
6,Friday,2023-03-17,6.8,1
7,Friday,2023-03-17,4.78,1
8,Friday,2023-03-17,6.21,1
9,Friday,2023-03-17,5.9,0
10,Friday,2023-03-17,6.35,1
11,Friday,2023-03-17,5.82,0
12,Friday,2023-03-17,6.79,1
13,Friday,2023-03-17,6.43,1
14,Friday,2023-03-17,5.18,0
15,Friday,2023-03-17,6.41,1
16,Friday,2023-03-17,5.81,0
17,Friday,2023-03-17,5.57,0
18,Friday,2023-03-17,6.53,0
1,Thursday,2023-03-16,6.05,0
2,Thursday,2023-03-16,5.85,0
3,Thursday,2023-03-16,5.38,0
4,Thursday,2023-03-16,6.91,0
5,Thursday,2023-03-16,5.36,0
6,Thursday,2023-03-16,6.21,1
7,Thursday,2023-03-16,4.79,0
8,Thursday,2023-03-16,4.82,0
9,Thursday,2023-03-16,5.29,0
10,Thursday,2023-03-16,5.26,0
11,Thursday,2023-03-16,6.3,0
12,Thursday,2023-03-16,6.4,0
13,Thursday,2023-03-16,6.18,0
14,Thursday,2023-03-16,5.67,0
15,Thursday,2023-03-16,5.81,0
16,Thursday,2023-03-16,6.85,0
17,Thursday,2023-03-16,4.92,0
18,Thursday,2023-03-16,6.48,0
1,Wednesday,2023-03-15,6.42,0
2,Wednesday,2023-03-15,4.91,0
3,Wednesday,2023-03-15,4.94,0
4,Wednesday,2023-03-15,5.31,0
5,Wednesday,2023-03-15,6.31,0
6,Wednesday,2023-03-15,6.3,0
7,Wednesday,2023-03-15,4.8,0
8,Wednesday,2023-03-15,6.55,0
9,Wednesday,2023-03-15,6.51,0
10,Wednesday,2023-03-15,5.7,0
11,Wednesday,2023-03-15,6.03,0
12,Wednesday,2023-03-15,6.82,1
13,Wednesday,2023-03-15,6.76,0
14,Wednesday,2023-03-15,4.62,1
15,Wednesday,2023-03-15,4.6,1
16,Wednesday,2023-03-15,5.07,0
17,Wednesday,2023-03-15,5.63,0
18,Wednesday,2023-03-15,6.08,1
1,Tuesday,2023-03-14,5.48,0
2,Tuesday,2023-03-14,4.85,1
3,Tuesday,2023-03-14,4.95,0
4,Tuesday,2023-03-14,6.25,0
5,Tuesday,2023-03-14,6.7,0
6,Tuesday,2023-03-14,6.78,1
7,Tuesday,2023-03-14,6.49,0
8,Tuesday,2023-03-14,4.84,1
9,Tuesday,2023-03-14,5.19,1
10,Tuesday,2023-03-14,6.29,1
11,Tuesday,2023-03-14,6.47,1
12,Tuesday,2023-03-14,5.93,0
13,Tuesday,2023-03-14,5.72,0
14,Tuesday,2023-03-14,5.51,0
15,Tuesday,2023-03-14,6.34,1
16,Tuesday,2023-03-14,6.53,0
17,Tuesday,2023-03-14,4.64,0
18,Tuesday,2023-03-14,5.84,1
1,Monday,2023-03-13,4.92,1
2,Monday,2023-03-13,5.58,0
3,Monday,2023-03-13,5.05,0
4,Monday,2023-03-13,4.91,1
5,Monday,2023-03-13,5.71,0
6,Monday,2023-03-13,6.98,0
7,Monday,2023-03-13,4.55,0
8,Monday,2023-03-13,6.55,0
9,Monday,2023-03-13,6.79,0
10,Monday,2023-03-13,5.34,0
11,Monday,2023-03-13,4.54,0
12,Monday,2023-03-13,6.79,0
13,Monday,2023-03-13,4.6,0
14,Monday,2023-03-13,5.53,0
15,Monday,2023-03-13,6.82,0
16,Monday,2023-03-13,6.3,0
17,Monday,2023-03-13,6.5,0
18,Monday,2023-03-13,6.31,0
1,Sunday,2023-03-12,0.0,0
2,Sunday,2023-03-12,0.0,0
3,Sunday,2023-03-12,0.0,0
4,Sunday,2023-03-12,0.0,0
5,Sunday,2023-03-12,0.0,0
6,Sunday,2023-03-12,0.0,0
7,Sunday,2023-03-12,0.0,0
8,Sunday,2023-03-12,0.0,0
9,Sunday,2023-03-12,0.0,0
10,Sunday,2023-03-12,0.0,0
11,Sunday,2023-03-12,0.0,0
12,Sunday,2023-03-12,0.0,0
13,Sunday,2023-03-12,0.0,0
14,Sunday,2023-03-12,0.0,0
15,Sunday,2023-03-12,0.0,0
16,Sunday,2023-03-12,0.0,0
17,Sunday,2023-03-12,0.0,0
18,Sunday,2023-03-12,0.0,0
1,Saturday,2023-03-11,0.0,0
2,Saturday,2023-03-11,0.0,0
3,Saturday,2023-03-11,0.0,0
4,Saturday,2023-03-11,0.0,0
5,Saturday,2023-03-11,0.0,0
6,Saturday,2023-03-11,0.0,0
7,Saturday,2023-03-11,0.0,0
8,Saturday,2023-03-11,0.0,0
9,Saturday,2023-03-11,0.0,0
10,Saturday,2023-03-11,0.0,0
11,Saturday,2023-03-11,0.0,0
12,Saturday,2023-03-11,0.0,0
13,Saturday,2023-03-11,0.0,0
14,Saturday,2023-03-11,0.0,0
15,Saturday,2023-03-11,0.0,0
16,Saturday,2023-03-11,0.0,0
17,Saturday,2023-03-11,0.0,0
18,Saturday,2023-03-11,0.0,0
1,Friday,2023-03-10,6.84,1
2,Friday,2023-03-10,6.13,0
3,Friday,2023-03-10,6.12,1
4,Friday,2023-03-10,5.6,0
5,Friday,2023-03-10,6.16,1
6,Friday,2023-03-10,4.59,1
7,Friday,2023-03-10,5.0,0
8,Friday,2023-03-10,6.1,1
9,Friday,2023-03-10,5.43,0
10,Friday,2023-03-10,4.83,0
11,Friday,2023-03-10,5.12,0
12,Friday,2023-03-10,4.85,1
13,Friday,2023-03-10,5.4,1
14,Friday,2023-03-10,4.54,1
15,Friday,2023-03-10,6.01,0
16,Friday,2023-03-10,5.18,0
17,Friday,2023-03-10,4.95,0
18,Friday,2023-03-10,5.87,0
1,Thursday,2023-03-09,6.03,0
2,Thursday,2023-03-09,4.98,1
3,Thursday,2023-03-09,5.99,0
4,Thursday,2023-03-09,5.12,0
5,Thursday,2023-03-09,6.73,0
6,Thursday,2023-03-09,4.91,0
7,Thursday,2023-03-09,4.82,0
8,Thursday,2023-03-09,6.66,0
9,Thursday,2023-03-09,4.76,1
10,Thursday,2023-03-09,5.49,0
11,Thursday,2023-03-09,6.84,0
12,Thursday,2023-03-09,6.54,0
13,Thursday,2023-03-09,6.9,0
14,Thursday,2023-03-09,5.41,0
15,Thursday,2023-03-09,5.2,0
16,Thursday,2023-03-09,6.06,0
17,Thursday,2023-03-09,4.7,0
18,Thursday,2023-03-09,6.14,0
1,Wednesday,2023-03-08,5.78,0
2,Wednesday,2023-03-08,4.64,0
3,Wednesday,2023-03-08,6.89,0
4,Wednesday,2023-03-08,6.55,0
5,Wednesday,2023-03-08,6.07,0
6,Wednesday,2023-03-08,5.32,0
7,Wednesday,2023-03-08,6.27,0
8,Wednesday,2023-03-08,6.5,0
9,Wednesday,2023-03-08,6.79,0
10,Wednesday,2023-03-08,5.4,0
11,Wednesday,2023-03-08,5.36,0
12,Wednesday,2023-03-08,6.31,1
13,Wednesday,2023-03-08,5.22,0
14,Wednesday,2023-03-08,5.12,0
15,Wednesday,2023-03-08,5.16,1
16,Wednesday,2023-03-08,6.17,0
17,Wednesday,2023-03-08,5.46,0
18,Wednesday,2023-03-08,6.51,1
1,Tuesday,2023-03-07,4.62,0
2,Tuesday,2023-03-07,5.05,0
3,Tuesday,2023-03-07,5.28,0
4,Tuesday,2023-03-07,6.98,1
5,Tuesday,2023-03-07,6.23,0
6,Tuesday,2023-03-07,5.65,1
7,Tuesday,2023-03-07,6.96,0
8,Tuesday,2023-03-07,5.38,1
9,Tuesday,2023-03-07,4.74,0
10,Tuesday,2023-03-07,6.43,0
11,Tuesday,2023-03-07,6.93,1
12,Tuesday,2023-03-07,4.69,0
13,Tuesday,2023-03-07,5.98,0
14,Tuesday,2023-03-07,5.24,0
15,Tuesday,2023-03-07,6.55,1
16,Tuesday,2023-03-07,6.41,0
17,Tuesday,2023-03-07,6.69,0
18,Tuesday,2023-03-07,6.93,0
1,Monday,2023-03-06,5.26,0
2,Monday,2023-03-06,6.71,0
3,Monday,2023-03-06,6.96,1
4,Monday,2023-03-06,6.84,0
5,Monday,2023-03-06,5.84,0
6,Monday,2023-03-06,4.75,1
7,Monday,2023-03-06,4.9,0
8,Monday,2023-03-06,5.35,1
9,Monday,2023-03-06,6.66,0
10,Monday,2023-03-06,5.43,0
11,Monday,2023-03-06,5.21,0
12,Monday,2023-03-06,5.5,0
13,Monday,2023-03-06,6.21,0
14,Monday,2023-03-06,4.9,0
15,Monday,2023-03-06,6.87,0
16,Monday,2023-03-06,5.39,1
17,Monday,2023-03-06,4.58,0
18,Monday,2023-03-06,6.58,0
1,Sunday,2023-03-05,0.0,0
2,Sunday,2023-03-05,0.0,0
3,Sunday,2023-03-05,0.0,0
4,Sunday,2023-03-05,0.0,0
5,Sunday,2023-03-05,0.0,0
6,Sunday,2023-03-05,0.0,0
7,Sunday,2023-03-05,0.0,0
8,Sunday,2023-03-05,0.0,0
9,Sunday,2023-03-05,0.0,0
10,Sunday,2023-03-05,0.0,0
11,Sunday,2023-03-05,0.0,0
12,Sunday,2023-03-05,0.0,0
13,Sunday,2023-03-05,0.0,0
14,Sunday,2023-03-05,0.0,0
15,Sunday,2023-03-05,0.0,0
16,Sunday,2023-03-05,0.0,0
17,Sunday,2023-03-05,0.0,0
18,Sunday,2023-03-05,0.0,0
1,Saturday,2023-03-04,0.0,0
2,Saturday,2023-03-04,0.0,0
3,Saturday,2023-03-04,0.0,0
4,Saturday,2023-03-04,0.0,0
5,Saturday,2023-03-04,0.0,0
6,Saturday,2023-03-04,0.0,0
7,Saturday,2023-03-04,0.0,0
8,Saturday,2023-03-04,0.0,0
9,Saturday,2023-03-04,0.0,0
10,Saturday,2023-03-04,0.0,0
11,Saturday,2023-03-04,0.0,0
12,Saturday,2023-03-04,0.0,0
13,Saturday,2023-03-04,0.0,0
14,Saturday,2023-03-04,0.0,0
15,Saturday,2023-03-04,0.0,0
16,Saturday,2023-03-04,0.0,0
17,Saturday,2023-03-04,0.0,0
18,Saturday,2023-03-04,0.0,0
1,Friday,2023-03-03,5.68,0
2,Friday,2023-03-03,4.51,0
3,Friday,2023-03-03,5.45,0
4,Friday,2023-03-03,5.44,0
5,Friday,2023-03-03,4.95,1
6,Friday,2023-03-03,4.75,0
7,Friday,2023-03-03,4.68,1
8,Friday,2023-03-03,5.41,0
9,Friday,2023-03-03,6.85,0
10,Friday,2023-03-03,4.73,1
11,Friday,2023-03-03,6.52,0
12,Friday,2023-03-03,4.92,1
13,Friday,2023-03-03,4.92,1
14,Friday,2023-03-03,6.54,0
15,Friday,2023-03-03,4.75,1
16,Friday,2023-03-03,5.33,0
17,Friday,2023-03-03,5.13,1
18,Friday,2023-03-03,5.57,1
1,Thursday,2023-03-02,6.5,0
2,Thursday,2023-03-02,4.63,0
3,Thursday,2023-03-02,6.31,0
4,Thursday,2023-03-02,5.74,0
5,Thursday,2023-03-02,5.9,0
6,Thursday,2023-03-02,5.63,0
7,Thursday,2023-03-02,5.75,0
8,Thursday,2023-03-02,5.95,0
9,Thursday,2023-03-02,4.52,0
10,Thursday,2023-03-02,4.91,0
11,Thursday,2023-03-02,6.72,0
12,Thursday,2023-03-02,6.49,0
13,Thursday,2023-03-02,5.22,0
14,Thursday,2023-03-02,5.99,1
15,Thursday,2023-03-02,6.82,0
16,Thursday,2023-03-02,6.8,0
17,Thursday,2023-03-02,4.55,1
18,Thursday,2023-03-02,4.83,0
1,Wednesday,2023-03-01,6.14,1
2,Wednesday,2023-03-01,6.79,0
3,Wednesday,2023-03-01,5.04,1
4,Wednesday,2023-03-01,6.63,1
5,Wednesday,2023-03-01,5.19,0
6,Wednesday,2023-03-01,6.25,1
7,Wednesday,2023-03-01,6.63,0
8,Wednesday,2023-03-01,4.83,1
9,Wednesday,2023-03-01,4.65,0
10,Wednesday,2023-03-01,6.31,0
11,Wednesday,2023-03-01,5.84,0
12,Wednesday,2023-03-01,5.98,0
13,Wednesday,2023-03-01,4.88,1
14,Wednesday,2023-03-01,5.07,0
15,Wednesday,2023-03-01,5.71,0
16,Wednesday,2023-03-01,6.59,0
17,Wednesday,2023-03-01,6.25,0
18,Wednesday,2023-03-01,5.36,0
1,Tuesday,2023-02-28,6.04,0
2,Tuesday,2023-02-28,4.92,1
3,Tuesday,2023-02-28,6.61,1
4,Tuesday,2023-02-28,5.06,1
5,Tuesday,2023-02-28,6.65,0
6,Tuesday,2023-02-28,6.9,1
7,Tuesday,2023-02-28,6.22,1
8,Tuesday,2023-02-28,5.51,1
9,Tuesday,2023-02-28,5.33,1
10,Tuesday,2023-02-28,5.02,1
11,Tuesday,2023-02-28,6.95,1
12,Tuesday,2023-02-28,5.96,0
13,Tuesday,2023-02-28,6.41,1
14,Tuesday,2023-02-28,4.99,0
15,Tuesday,2023-02-28,5.66,0
16,Tuesday,2023-02-28,5.11,0
17,Tuesday,2023-02-28,6.54,0
18,Tuesday,2023-02-28,5.79,0
1,Monday,2023-02-27,5.42,1
2,Monday,2023-02-27,6.66,0
3,Monday,2023-02-27,4.94,0
4,Monday,2023-02-27,6.88,1
5,Monday,2023-02-27,4.77,1
6,Monday,2023-02-27,5.23,0
7,Monday,2023-02-27,5.51,1
8,Monday,2023-02-27,4.92,0
9,Monday,2023-02-27,6.93,0
10,Monday,2023-02-27,6.72,0
11,Monday,2023-02-27,4.94,0
12,Monday,2023-02-27,6.3,0
13,Monday,2023-02-27,6.61,0
14,Monday,2023-02-27,5.57,0
15,Monday,2023-02-27,6.34,0
16,Monday,2023-02-27,5.31,0
17,Monday,2023-02-27,6.94,0
18,Monday,2023-02-27,6.5,0
1,Sunday,2023-02-26,0.0,0
2,Sunday,2023-02-26,0.0,0
3,Sunday,2023-02-26,0.0,0
4,Sunday,2023-02-26,0.0,0
5,Sunday,2023-02-26,0.0,0
6,Sunday,2023-02-26,0.0,0
7,Sunday,2023-02-26,0.0,0
8,Sunday,2023-02-26,0.0,0
9,Sunday,2023-02-26,0.0,0
10,Sunday,2023-02-26,0.0,0
11,Sunday,2023-02-26,0.0,0
12,Sunday,2023-02-26,0.0,0
13,Sunday,2023-02-26,0.0,0
14,Sunday,2023-02-26,0.0,0
15,Sunday,2023-02-26,0.0,0
16,Sunday,2023-02-26,0.0,0
17,Sunday,2023-02-26,0.0,0
18,Sunday,2023-02-26,0.0,0
1,Saturday,2023-02-25,0.0,0
2,Saturday,2023-02-25,0.0,0
3,Saturday,2023-02-25,0.0,0
4,Saturday,2023-02-25,0.0,0
5,Saturday,2023-02-25,0.0,0
6,Saturday,2023-02-25,0.0,0
7,Saturday,2023-02-25,0.0,0
8,Saturday,2023-02-25,0.0,0
9,Saturday,2023-02-25,0.0,0
10,Saturday,2023-02-25,0.0,0
11,Saturday,2023-02-25,0.0,0
12,Saturday,2023-02-25,0.0,0
13,Saturday,2023-02-25,0.0,0
14,Saturday,2023-02-25,0.0,0
15,Saturday,2023-02-25,0.0,0
16,Saturday,2023-02-25,0.0,0
17,Saturday,2023-02-25,0.0,0
18,Saturday,2023-02-25,0.0,0
1,Friday,2023-02-24,5.94,1
2,Friday,2023-02-24,6.42,1
3,Friday,2023-02-24,5.79,0
4,Friday,2023-02-24,5.89,1
5,Friday,2023-02-24,6.86,1
6,Friday,2023-02-24,6.31,0
7,Friday,2023-02-24,4.97,0
8,Friday,2023-02-24,6.1,0
9,Friday,2023-02-24,4.57,1
10,Friday,2023-02-24,4.93,0
11,Friday,2023-02-24,6.34,1
12,Friday,2023-02-24,6.59,0
13,Friday,2023-02-24,5.11,1
14,Friday,2023-02-24,5.58,0
15,Friday,2023-02-24,7.0,1
16,Friday,2023-02-24,5.5,0
17,Friday,2023-02-24,5.91,1
18,Friday,2023-02-24,6.16,1
1,Thursday,2023-02-23,5.71,0
2,Thursday,2023-02-23,4.97,0
3,Thursday,2023-02-23,6.83,0
4,Thursday,2023-02-23,6.87,0
5,Thursday,2023-02-23,5.54,1
6,Thursday,2023-02-23,4.51,1
7,Thursday,2023-02-23,5.21,0
8,Thursday,2023-02-23,5.7,1
9,Thursday,2023-02-23,5.51,0
10,Thursday,2023-02-23,5.68,1
11,Thursday,2023-02-23,4.53,1
12,Thursday,2023-02-23,5.28,0
13,Thursday,2023-02-23,4.53,0
14,Thursday,2023-02-23,4.63,0
15,Thursday,2023-02-23,6.16,0
16,Thursday,2023-02-23,6.15,0
17,Thursday,2023-02-23,4.64,1
18,Thursday,2023-02-23,4.98,0
1,Wednesday,2023-02-22,5.54,0
2,Wednesday,2023-02-22,6.06,0
3,Wednesday,2023-02-22,5.01,1
4,Wednesday,2023-02-22,5.58,0
5,Wednesday,2023-02-22,4.61,1
6,Wednesday,2023-02-22,6.45,0
7,Wednesday,2023-02-22,4.82,0
8,Wednesday,2023-02-22,4.76,0
9,Wednesday,2023-02-22,4.68,0
10,Wednesday,2023-02-22,5.12,1
11,Wednesday,2023-02-22,6.27,1
12,Wednesday,2023-02-22,5.45,1
